id,title,company,location,work_mode,employment_type,seniority,category,difficulty_score,description,technologies_json,skills,technologies,text_features
130,PMO Analyst,iQuest,Cluj-Napoca,HYBRID,FULL_TIME,JUNIOR,PM,50,"iQuest caută un/o PMO Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Excel, Power BI, Jira și va folosi în mod constant competențe precum Project Management, Excel, Power BI, Reporting, Risk Management. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale.","[""Excel"", ""Power BI"", ""Jira""]","Excel, Power BI, Project Management, Reporting, Risk Management, Stakeholder Management",Excel Power BI Jira,"PMO Analyst iQuest caută un/o PMO Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Excel, Power BI, Jira și va folosi în mod constant competențe precum Project Management, Excel, Power BI, Reporting, Risk Management. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale. Excel, Power BI, Project Management, Reporting, Risk Management, Stakeholder Management Excel Power BI Jira"
131,Product Owner Assistant,Steelcase,Cluj-Napoca / Remote Romania,HYBRID,FULL_TIME,JUNIOR,BUSINESS,50,"Steelcase caută un/o Product Owner Assistant pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Jira, Confluence și va folosi în mod constant competențe precum Agile, Scrum, Requirements Gathering, Documentation, Stakeholder Management. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale.","[""Jira"", ""Confluence""]","Agile, Communication, Documentation, Requirements Gathering, Scrum, Stakeholder Management",Jira Confluence,"Product Owner Assistant Steelcase caută un/o Product Owner Assistant pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Jira, Confluence și va folosi în mod constant competențe precum Agile, Scrum, Requirements Gathering, Documentation, Stakeholder Management. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale. Agile, Communication, Documentation, Requirements Gathering, Scrum, Stakeholder Management Jira Confluence"
132,Technology Consultant Intern,Arobs Transilvania Software,Cluj-Napoca Metropolitan Area,HYBRID,INTERNSHIP,INTERNSHIP,BUSINESS,36,"Arobs Transilvania Software caută un/o Technology Consultant Intern pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu SQL, Jira și va folosi în mod constant competențe precum Business Analysis, Communication, Documentation, Problem Solving, SQL. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel internship și contribuie direct la proiecte locale sau internaționale.","[""SQL"", ""Jira""]","Agile, Business Analysis, Communication, Documentation, Problem Solving, SQL",SQL Jira,"Technology Consultant Intern Arobs Transilvania Software caută un/o Technology Consultant Intern pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu SQL, Jira și va folosi în mod constant competențe precum Business Analysis, Communication, Documentation, Problem Solving, SQL. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel internship și contribuie direct la proiecte locale sau internaționale. Agile, Business Analysis, Communication, Documentation, Problem Solving, SQL SQL Jira"
133,Operations Business Analyst,Banca Transilvania,Cluj-Napoca,HYBRID,FULL_TIME,MID,BUSINESS,64,"Banca Transilvania caută un/o Operations Business Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Excel, SQL și va folosi în mod constant competențe precum Business Analysis, Process Analysis, SQL, Excel, Requirements Gathering. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale.","[""Excel"", ""SQL""]","Business Analysis, Excel, Presentation Skills, Process Analysis, Requirements Gathering, SQL",Excel SQL,"Operations Business Analyst Banca Transilvania caută un/o Operations Business Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Excel, SQL și va folosi în mod constant competențe precum Business Analysis, Process Analysis, SQL, Excel, Requirements Gathering. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale. Business Analysis, Excel, Presentation Skills, Process Analysis, Requirements Gathering, SQL Excel SQL"
134,Service Delivery Analyst,DeLonghi Romania,Cluj-Napoca / Remote Romania,ONSITE,FULL_TIME,JUNIOR,PM,52,"DeLonghi Romania caută un/o Service Delivery Analyst pentru echipele din Cluj-Napoca, cu activitate în regim onsite. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Excel, Power BI și va folosi în mod constant competențe precum Communication, Coordination, Reporting, Stakeholder Management, Problem Solving. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale.","[""Excel"", ""Power BI""]","Communication, Coordination, Excel, Problem Solving, Reporting, Stakeholder Management",Excel Power BI,"Service Delivery Analyst DeLonghi Romania caută un/o Service Delivery Analyst pentru echipele din Cluj-Napoca, cu activitate în regim onsite. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Excel, Power BI și va folosi în mod constant competențe precum Communication, Coordination, Reporting, Stakeholder Management, Problem Solving. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale. Communication, Coordination, Excel, Problem Solving, Reporting, Stakeholder Management Excel Power BI"
135,Junior Backend Developer,Tapptitude,Cluj-Napoca Metropolitan Area,HYBRID,FULL_TIME,JUNIOR,BACKEND,55,"Tapptitude caută un/o Junior Backend Developer pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Java, Spring Boot, MySQL, Docker și va folosi în mod constant competențe precum Java, Spring Boot, REST APIs, SQL, Git. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale.","[""Java"", ""Spring Boot"", ""MySQL"", ""Docker""]","Docker, Git, Java, REST APIs, Spring Boot, SQL",Java Spring Boot MySQL Docker,"Junior Backend Developer Tapptitude caută un/o Junior Backend Developer pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Java, Spring Boot, MySQL, Docker și va folosi în mod constant competențe precum Java, Spring Boot, REST APIs, SQL, Git. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale. Docker, Git, Java, REST APIs, Spring Boot, SQL Java Spring Boot MySQL Docker"
136,Node.js Backend Developer,Emerson,Cluj-Napoca,HYBRID,FULL_TIME,MID,BACKEND,72,"Emerson caută un/o Node.js Backend Developer pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Node.js, Express, MySQL și va folosi în mod constant competențe precum Node.js, Express, REST APIs, MySQL, Git. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale.","[""Node.js"", ""Express"", ""MySQL""]","API Design, Express, Git, MySQL, Node.js, REST APIs",Node.js Express MySQL,"Node.js Backend Developer Emerson caută un/o Node.js Backend Developer pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Node.js, Express, MySQL și va folosi în mod constant competențe precum Node.js, Express, REST APIs, MySQL, Git. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale. API Design, Express, Git, MySQL, Node.js, REST APIs Node.js Express MySQL"
137,Java Developer,Betfair Romania Development,Cluj-Napoca / Remote Romania,HYBRID,FULL_TIME,MID,BACKEND,74,"Betfair Romania Development caută un/o Java Developer pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Java, Spring Boot, PostgreSQL și va folosi în mod constant competențe precum Java, Spring Boot, Microservices, REST APIs, PostgreSQL. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale.","[""Java"", ""Spring Boot"", ""PostgreSQL""]","Git, Java, Microservices, PostgreSQL, REST APIs, Spring Boot",Java Spring Boot PostgreSQL,"Java Developer Betfair Romania Development caută un/o Java Developer pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Java, Spring Boot, PostgreSQL și va folosi în mod constant competențe precum Java, Spring Boot, Microservices, REST APIs, PostgreSQL. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale. Git, Java, Microservices, PostgreSQL, REST APIs, Spring Boot Java Spring Boot PostgreSQL"
138,.NET Backend Developer,Garmin Cluj,Cluj-Napoca Metropolitan Area,HYBRID,FULL_TIME,MID,BACKEND,78,"Garmin Cluj caută un/o .NET Backend Developer pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu C#, .NET, SQL Server și va folosi în mod constant competențe precum C#, .NET, REST APIs, SQL, Git. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale.","[""C#"", "".NET"", ""SQL Server""]",".NET, API Design, C#, Git, REST APIs, SQL",C# .NET SQL Server,".NET Backend Developer Garmin Cluj caută un/o .NET Backend Developer pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu C#, .NET, SQL Server și va folosi în mod constant competențe precum C#, .NET, REST APIs, SQL, Git. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale. .NET, API Design, C#, Git, REST APIs, SQL C# .NET SQL Server"
139,Full Stack Developer Python & React,Vertiv,Cluj-Napoca,HYBRID,FULL_TIME,MID,FULLSTACK,74,"Vertiv caută un/o Full Stack Developer Python & React pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Python, React, PostgreSQL și va folosi în mod constant competențe precum Python, React, JavaScript, REST APIs, SQL. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale.","[""Python"", ""React"", ""PostgreSQL""]","Git, JavaScript, Python, React, REST APIs, SQL",Python React PostgreSQL,"Full Stack Developer Python & React Vertiv caută un/o Full Stack Developer Python & React pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Python, React, PostgreSQL și va folosi în mod constant competențe precum Python, React, JavaScript, REST APIs, SQL. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale. Git, JavaScript, Python, React, REST APIs, SQL Python React PostgreSQL"
140,Junior Full Stack Developer,E.ON Software Development,Cluj-Napoca / Remote Romania,REMOTE,FULL_TIME,JUNIOR,FULLSTACK,53,"E.ON Software Development caută un/o Junior Full Stack Developer pentru echipele din Cluj-Napoca, cu activitate în regim remote. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu React, Node.js, MySQL și va folosi în mod constant competențe precum JavaScript, React, Node.js, Express, MySQL. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale.","[""React"", ""Node.js"", ""MySQL""]","Express, Git, JavaScript, MySQL, Node.js, React",React Node.js MySQL,"Junior Full Stack Developer E.ON Software Development caută un/o Junior Full Stack Developer pentru echipele din Cluj-Napoca, cu activitate în regim remote. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu React, Node.js, MySQL și va folosi în mod constant competențe precum JavaScript, React, Node.js, Express, MySQL. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale. Express, Git, JavaScript, MySQL, Node.js, React React Node.js MySQL"
141,Cloud Backend Engineer,Genpact,Cluj-Napoca Metropolitan Area,HYBRID,FULL_TIME,MID,BACKEND,78,"Genpact caută un/o Cloud Backend Engineer pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu AWS, Docker, Java și va folosi în mod constant competențe precum Java, Spring Boot, Cloud Computing, AWS, Docker. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale.","[""AWS"", ""Docker"", ""Java""]","AWS, Cloud Computing, Docker, Java, Microservices, Spring Boot",AWS Docker Java,"Cloud Backend Engineer Genpact caută un/o Cloud Backend Engineer pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu AWS, Docker, Java și va folosi în mod constant competențe precum Java, Spring Boot, Cloud Computing, AWS, Docker. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale. AWS, Cloud Computing, Docker, Java, Microservices, Spring Boot AWS Docker Java"
142,API Integration Developer,Office Depot / Veyer,Cluj-Napoca,HYBRID,FULL_TIME,JUNIOR,BACKEND,50,"Office Depot / Veyer caută un/o API Integration Developer pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Node.js, Postman, SQL și va folosi în mod constant competențe precum REST APIs, API Design, Node.js, SQL, Documentation. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale.","[""Node.js"", ""Postman"", ""SQL""]","API Design, Documentation, Node.js, Postman, REST APIs, SQL",Node.js Postman SQL,"API Integration Developer Office Depot / Veyer caută un/o API Integration Developer pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Node.js, Postman, SQL și va folosi în mod constant competențe precum REST APIs, API Design, Node.js, SQL, Documentation. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale. API Design, Documentation, Node.js, Postman, REST APIs, SQL Node.js Postman SQL"
143,Software Engineer - Automotive,Halcyon Mobile,Cluj-Napoca / Remote Romania,HYBRID,FULL_TIME,MID,BACKEND,70,"Halcyon Mobile caută un/o Software Engineer - Automotive pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Java, C++, Linux și va folosi în mod constant competențe precum Java, C++, Git, Problem Solving, Documentation. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale.","[""Java"", ""C++"", ""Linux""]","C++, Documentation, Git, Java, Linux, Problem Solving",Java C++ Linux,"Software Engineer - Automotive Halcyon Mobile caută un/o Software Engineer - Automotive pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Java, C++, Linux și va folosi în mod constant competențe precum Java, C++, Git, Problem Solving, Documentation. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale. C++, Documentation, Git, Java, Linux, Problem Solving Java C++ Linux"
144,Junior Java Trainee,Softvision / Cognizant Softvision,Cluj-Napoca Metropolitan Area,HYBRID,INTERNSHIP,INTERNSHIP,BACKEND,38,"Softvision / Cognizant Softvision caută un/o Junior Java Trainee pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Java, SQL, Git și va folosi în mod constant competențe precum Java, SQL, Git, REST APIs, Problem Solving. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel internship și contribuie direct la proiecte locale sau internaționale.","[""Java"", ""SQL"", ""Git""]","Git, Java, Problem Solving, REST APIs, SQL",Java SQL Git,"Junior Java Trainee Softvision / Cognizant Softvision caută un/o Junior Java Trainee pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Java, SQL, Git și va folosi în mod constant competențe precum Java, SQL, Git, REST APIs, Problem Solving. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel internship și contribuie direct la proiecte locale sau internaționale. Git, Java, Problem Solving, REST APIs, SQL Java SQL Git"
145,Full Stack Engineer,Sage Intacct,Cluj-Napoca,HYBRID,FULL_TIME,MID,FULLSTACK,71,"Sage Intacct caută un/o Full Stack Engineer pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu React, TypeScript, Node.js și va folosi în mod constant competențe precum React, TypeScript, Node.js, REST APIs, PostgreSQL. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale.","[""React"", ""TypeScript"", ""Node.js""]","Docker, Node.js, PostgreSQL, React, REST APIs, TypeScript",React TypeScript Node.js,"Full Stack Engineer Sage Intacct caută un/o Full Stack Engineer pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu React, TypeScript, Node.js și va folosi în mod constant competențe precum React, TypeScript, Node.js, REST APIs, PostgreSQL. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale. Docker, Node.js, PostgreSQL, React, REST APIs, TypeScript React TypeScript Node.js"
